key,change_point_window,scanner_id,symbol,trend_regime,volatility_regime,trades,net_bps,average_net_bps,median_net_bps,gross_bps,cost_bps,average_cost_bps,hit_rate,false_signal_rate,profit_factor,average_win_bps,average_loss_bps,average_mfe_bps,average_mae_bps,average_hold_seconds,average_hold_bars_1m,average_expected_net_bps,expectation_error_bps,same_bar_ambiguity_rate,win_rate,avg_net_bps,total_net_bps,avg_mfe_bps,avg_mae_bps,avg_hold_bars,average_net_standard_error_bps,average_net_ci95_low_bps,average_net_ci95_high_bps,average_net_uplift_vs_selection_bps,pct_of_selection_trades
01-04h | delta_momentum_burst_v1 | ETHUSD | weak_trend | medium,01-04h,delta_momentum_burst_v1,ETHUSD,weak_trend,medium,512,-3303.963518901663,-6.453053747854811,-13.775793383676483,-559.6435189016636,2744.3199999999997,5.359999999999999,0.333984375,0.666015625,0.3814728903873086,11.916372586380552,15.664701557691314,17.87241107243455,15.463030444874303,85.546875,1.42578125,14.357690217382777,-20.810743965237588,0.08203125,0.333984375,-6.453053747854811,-3303.963518901663,17.87241107243455,15.463030444874303,1.42578125,0.5932331520461367,-7.615790725865239,-5.290316769844383,-0.16998917757126986,3.278688524590164
30-60m | delta_momentum_burst_v1 | ETHUSD | weak_trend | high,30-60m,delta_momentum_burst_v1,ETHUSD,weak_trend,high,294,-1500.4627206943915,-5.103614696239426,-14.108701160719573,75.37727930560845,1575.84,5.359999999999999,0.3843537414965986,0.6156462585034014,0.5061832837379184,13.610960634556937,16.787299847510084,18.448439320669838,16.34082318793144,82.85714285714286,1.380952380952381,17.32071204311854,-22.424326739357966,0.027210884353741496,0.3843537414965986,-5.103614696239426,-1500.4627206943915,18.448439320669838,16.34082318793144,1.380952380952381,0.8907854464222794,-6.849554171227094,-3.3576752212517587,1.1794498740441144,1.882684426229508
04h+ | delta_momentum_burst_v1 | ETHUSD | weak_trend | low,04h+,delta_momentum_burst_v1,ETHUSD,weak_trend,low,291,-1995.4747847988383,-6.857301665975389,-13.13153812288489,-435.71478479883854,1559.7599999999998,5.359999999999999,0.3333333333333333,0.6666666666666666,0.3057742621091823,9.060970701017672,14.816437849471919,13.495569970181789,13.151493429967589,84.5360824742268,1.40893470790378,12.116332619180781,-18.973634285156173,0.041237113402061855,0.3333333333333333,-6.857301665975389,-1995.4747847988383,13.495569970181789,13.151493429967589,1.40893470790378,0.6726595401171884,-8.175714364605078,-5.5388889673457,-0.5742370956918483,1.8634733606557379
01-04h | delta_momentum_burst_v1 | ETHUSD | weak_trend | high,01-04h,delta_momentum_burst_v1,ETHUSD,weak_trend,high,290,-2083.1679293354796,-7.183337687363723,-13.785600263363698,-528.7679293354797,1554.3999999999999,5.359999999999999,0.32413793103448274,0.6758620689655173,0.3383828753534585,11.334387761110037,16.064287647346035,16.404613869841167,17.353358454455446,85.03448275862068,1.4172413793103447,15.245636179244729,-22.42897386660845,0.06206896551724138,0.32413793103448274,-7.183337687363723,-2083.1679293354796,16.404613869841167,17.353358454455446,1.4172413793103447,0.7807698255357172,-8.713646545413729,-5.653028829313717,-0.9002731170801823,1.8570696721311477
04h+ | delta_momentum_burst_v1 | ETHUSD | range | high,04h+,delta_momentum_burst_v1,ETHUSD,range,high,244,-1794.8465278337665,-7.355928392761338,-13.808941516994711,-487.00652783376654,1307.84,5.359999999999999,0.3073770491803279,0.6926229508196722,0.336171764225073,12.119133459692137,15.998707321364948,18.240308339199963,16.266967001185066,86.80327868852459,1.4467213114754098,15.520781299280838,-22.876709692042173,0.10245901639344263,0.3073770491803279,-7.355928392761338,-1794.8465278337665,18.240308339199963,16.266967001185066,1.4467213114754098,0.8583034694522632,-9.038203192887774,-5.673653592634902,-1.0728638224777969,1.5625
01-04h | delta_momentum_burst_v1 | ETHUSD | strong_trend | low,01-04h,delta_momentum_burst_v1,ETHUSD,strong_trend,low,227,-1573.7155236539268,-6.932667505083378,-13.639154684674994,-356.99552365392685,1216.7199999999998,5.359999999999999,0.31277533039647576,0.6872246696035242,0.3535711371506059,12.123386366335906,15.605615100408821,17.89433969909965,15.963744124980419,84.31718061674009,1.4052863436123348,14.585685061432352,-21.51835256651573,0.11013215859030837,0.31277533039647576,-6.932667505083378,-1573.7155236539268,17.89433969909965,15.963744124980419,1.4052863436123348,0.883756906182383,-8.664831041200848,-5.200503968965908,-0.6496029347998373,1.4536372950819672
00-30m | delta_momentum_burst_v1 | BTCUSD | strong_trend | high,00-30m,delta_momentum_burst_v1,BTCUSD,strong_trend,high,222,-1631.899663221432,-7.350899383880325,-14.331258394159242,-441.97966322143236,1189.9199999999998,5.359999999999999,0.3063063063063063,0.6936936936936937,0.346200660202792,12.707729277034295,16.207956195193276,18.600743528980477,20.809130762734718,82.43243243243244,1.3738738738738738,16.257804600940013,-23.608703984820337,0.08108108108108109,0.3063063063063063,-7.350899383880325,-1631.899663221432,18.600743528980477,20.809130762734718,1.3738738738738738,0.9321848977687306,-9.177981783507036,-5.523816984253613,-1.0678348135967841,1.4216188524590163
00-30m | delta_momentum_burst_v1 | BTCUSD | range | high,00-30m,delta_momentum_burst_v1,BTCUSD,range,high,221,-1377.7007206778078,-6.233939912569266,-13.692466119965742,-193.14072067780796,1184.56,5.359999999999999,0.3438914027149321,0.6561085972850679,0.4134609679505328,12.77847101458751,16.19906563990661,15.278338570559097,14.484675196635308,92.3076923076923,1.5384615384615385,16.05778734243174,-22.291727255001007,0.04072398190045249,0.3438914027149321,-6.233939912569266,-1377.7007206778078,15.278338570559097,14.484675196635308,1.5384615384615385,0.9626744337752078,-8.120781802768674,-4.347098022369859,0.04912465771427499,1.4152151639344261
04h+ | delta_momentum_burst_v1 | ETHUSD | strong_trend | medium,04h+,delta_momentum_burst_v1,ETHUSD,strong_trend,medium,219,-1544.3908314020866,-7.0520129287766515,-14.123860002943823,-370.55083140208666,1173.84,5.359999999999999,0.3287671232876712,0.6712328767123288,0.336685542167362,10.887538964549076,15.838732223466804,17.65453916283401,16.029769495233907,89.58904109589041,1.4931506849315068,14.182453458180563,-21.234466386957212,0.0958904109589041,0.3287671232876712,-7.0520129287766515,-1544.3908314020866,17.65453916283401,16.029769495233907,1.4931506849315068,0.8766899204103352,-8.77032517278091,-5.333700684772395,-0.7689483584931107,1.402407786885246
04h+ | delta_momentum_burst_v1 | ETHUSD | range | low,04h+,delta_momentum_burst_v1,ETHUSD,range,low,217,-1375.5603973156963,-6.338988006063117,-13.158671513676858,-212.44039731569632,1163.12,5.359999999999999,0.34101382488479265,0.6589861751152074,0.3306150808952905,9.181099209767895,14.370361810059583,14.450913678695553,13.018100325209007,89.86175115207374,1.4976958525345623,11.26608760162802,-17.605075607691134,0.06912442396313365,0.34101382488479265,-6.338988006063117,-1375.5603973156963,14.450913678695553,13.018100325209007,1.4976958525345623,0.7757602822995269,-7.859478159370189,-4.818497852756044,-0.055923435779575925,1.3896004098360657
00-30m | delta_momentum_burst_v1 | ETHUSD | range | high,00-30m,delta_momentum_burst_v1,ETHUSD,range,high,211,-1098.4751186887765,-5.206043216534486,-14.972665445863921,32.48488131122329,1130.9599999999998,5.359999999999999,0.3791469194312796,0.6208530805687204,0.5157905135825602,14.626495905165243,17.31751748932821,19.953677161279952,16.508032211363748,82.18009478672985,1.3696682464454975,19.23643222201175,-24.442475438546236,0.06635071090047394,0.3791469194312796,-5.206043216534486,-1098.4751186887765,19.953677161279952,16.508032211363748,1.3696682464454975,1.1053107453981308,-7.372452277514822,-3.0396341555541495,1.0770213537490552,1.3511782786885247
