,expected_move_bps,expected_net_bps,scalper_probability,confidence,expected_fee_multiple,atr_percentile_at_entry,atr_bps_at_entry,bb_width_percentile_at_entry,planned_stop_bps,planned_target_bps,change_point_bars_since_shift,change_point_return_score,change_point_volatility_score,cusum_alarm_recent_at_entry,scanner_id,symbol,side,regime_at_entry,trend_regime_at_entry,trend_direction_at_entry,volatility_regime_at_entry,session_regime_at_entry,change_point_window_at_entry,hour_utc
change_point_return_score,7.355579195100797e-05,0.0010791252787243836,0.00010143895910386852,0.000755935697069531,0.0,0.0,0.0,0.0,4.62193812283843e-05,0.0007260389346007555,0.0005146570258814022,0.008116627705041497,0.0,0.0,0.0028228111250089625,0.0,0.0,0.0,7.759977912135488e-05,7.714371855913014e-05,0.0,8.021939225766838e-05,0.0,0.0
change_point_volatility_score,0.0008506760471650796,0.00018854039273459458,0.00014607481138377218,0.0,6.945700401439801e-05,0.0,4.0034538241043996e-05,0.0002770399045766813,0.00022899975475128281,0.00033502441942026556,0.0,0.0,0.0018330053518592897,0.0,0.00037744766734402693,0.0,0.0003937613929074311,5.683344904802796e-05,0.0,0.0,0.0,4.468302631084841e-05,0.0,0.0
cusum_alarm_recent_at_entry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scanner_id,0.00344388367632075,0.006187254710758681,0.0025915298742996322,0.003278324758441408,0.001810980634502514,0.002315030525473282,0.005368841153492252,0.001600721898762892,0.0030741056887859655,0.0113712761864622,0.0022058937914981053,0.0028228111250089625,0.0003774476673440267,0.0,0.10509284477488973,0.001833159500032575,0.000987107520698337,0.0009503301314900356,0.001631649065524912,0.0007819882800435692,0.0,0.0008020227902889293,0.0,0.0015683176949817129
symbol,6.700806825886572e-05,0.0,0.0007774447999532871,0.00042146318499439953,0.0,0.00028163000920468394,0.00022168825493697352,0.0,0.0,0.00010759599469448927,3.2964253987833456e-05,0.0,0.0,0.0,0.0018331595000325748,0.0004087488495838372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
side,0.0015104222933326453,0.0010719293795463515,0.000315402808343504,0.0,0.0,0.0,0.00010875048384677759,0.0,0.00014049844547924987,0.0,0.000209282104189589,0.0,0.0003937613929074311,0.0,0.0009871075206983365,0.0,0.004050352459641441,0.0,0.0001571523553522808,7.345848612085284e-05,0.0,0.0,0.0,0.0
regime_at_entry,0.00014287649764449926,0.00032592304992018327,0.0009626341780333434,0.0,0.0,0.0,0.0,0.0004716243484076692,0.0,0.0,0.0005884156690535982,0.0,5.683344904802796e-05,0.0,0.0009503301314900364,0.0,0.0,0.00529487052174538,0.0011114914505104706,0.0,0.0,0.0,0.0,0.0
trend_regime_at_entry,0.0003301052386419366,0.0005438140757910295,5.826452939663461e-05,0.0,0.0,0.0,0.00023104799328273635,0.0,0.00011304360189437715,0.00033788377448131846,0.0,7.759977912135486e-05,0.0,0.0,0.0016316490655249119,0.0,0.0001571523553522808,0.0011114914505104708,0.005650573558602067,0.0,0.0,0.0,0.0,0.0008035205947986556
trend_direction_at_entry,0.00014197702806900898,0.0017879422509940813,0.00023498806085915823,0.001585104390389063,4.349186962881608e-05,0.0007085820255864572,0.00016091942789468072,0.0003216266736398956,0.00039916568851441046,4.392163172637383e-05,0.00010821378892633564,7.714371855913014e-05,0.0,0.0,0.0007819882800435697,0.0,7.345848612085284e-05,0.0,0.0,0.005698084869877257,0.0,0.0,0.0,0.0
volatility_regime_at_entry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
session_regime_at_entry,0.0,0.00018525208995473757,0.0,0.0,0.0,0.0,0.0,0.0,0.00022237376201517245,0.0004254203709331707,0.0,8.021939225766838e-05,4.468302631084841e-05,0.0,0.0008020227902889293,0.0,0.0,0.0,0.0,0.0,0.0,0.0026136008764909373,0.0,0.0
change_point_window_at_entry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hour_utc,3.747959064773536e-05,0.0003515584698375379,0.00027514609426086467,0.0010168298644066657,0.00035705837957054724,0.0,0.00012757636861086203,0.0,0.0,9.247367407336316e-05,0.0,0.0,0.0,0.0,0.0015683176949817126,0.0,0.0,0.0,0.0008035205947986556,0.0,0.0,0.0,0.0,0.003418095832440663
